Name,Created time,Difficulty,Due At,Form,Framework,Link,Mistakes,Notes,Source,Topics
"Count unique char in String ","May 1, 2026 7:53 PM",Hard,"May 26, 2026",Atomic Contribution,"  1. for every index store the next and prev occurence of the character at index",https://maang.in/problems/Count-Unique-Char-in-Substrings-63?resourceUrl=pl4655-rs63&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"For substring/subarray problems where the answer is additive in nature (total sum/count over all intervals), think in terms of element contribution instead of enumerating intervals.
Fix an index i and ask:
How many intervals does this index contribute to?
In this problem, s[i] contributes only in substrings where it is the unique occurrence of that character, which reduces the problem to finding valid left and right boundaries around i.",,Arrays
Minimise the Dot,"May 4, 2026 9:50 AM",Easy,"June 23, 2026",Greedy,,https://maang.in/problems/Minimizing-Dot-Problem-96?resourceUrl=pl4961-rs96&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"  1. Int x Int multiplication overflows before assignment to long",,Greedy
Max Points on Line,"May 5, 2026 9:35 AM",Hard,"May 28, 2026",Greedy,"  1. use gcd to get reduced fractions
  2. make a map of slope to frequency",https://leetcode.com/problems/max-points-on-a-line/description/,,"  1. using array or pair to store fractions
  2. using string notation to store in map",,Greedy
Fibonacci Breakdown,"May 5, 2026 9:59 AM",Medium,"June 4, 2026",Greedy,"  1. Find the largest fib number < k 
  2. subtract from k and repeat","https://maang.in/problems/Fibonacci-Breakdown-224?resourceUrl=pl4957-rs224&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]",,"Every number can be written as a sum of non-consecutive Fibonacci numbers, uniquely.",,Greedy
Fast Solving,"May 5, 2026 11:10 PM",Medium,"June 9, 2026",Greedy,"  1. first sweep from left to right 
  2. then sweep from right to left using the max operator.","https://maang.in/problems/Fast-Solving-225?resourceUrl=pl4958-rs225&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]",,"The important pattern is:
Local dependency constraints+Need globally minimum sum
This often suggests:
Greedily assign the minimum feasible value.
Then another observation appears:
Each index depends on both left and right neighbors.
A single traversal cannot satisfy both independently.
So split constraints into:
• left-to-right dependencies
• right-to-left dependencies
and combine them.",,Arrays
Make it Smooth,"May 6, 2026 10:39 PM",Medium,"June 11, 2026",Sweep Line,"  1. sweep from right to left , for the first elem of increasing sub array, make it = to the previous elem",https://maang.in/problems/Make-it-smooth-222?resourceUrl=pl4958-rs222&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"The key observation is:
An operation can increase an entire non-decreasing segment together.
So the only “bad places” are where:
A[i] < A[i-1]
because those positions violate the final non-decreasing condition.
Now think locally.
If: A[i-1] - A[i] = d
then A[i] needs at least d extra increments.",,Arrays
"Find Peak ","May 10, 2026 7:46 PM",,,,"  1. check if the next element is increasing → lo = mid + 1",https://leetcode.com/problems/find-peak-element/,,"Intermediate Value Theorem, if the next value is greater than the current, at least one peak exists to the right",,"Arrays, Binary Search"
Points on Line,"May 11, 2026 10:36 PM",Medium,"May 30, 2026","Binary Search, Contribution Technique, Sliding Window","  1. Fix a point and then user upper bound 
  2. use nc2 to get the number of triplets",https://codeforces.com/problemset/problem/251/A,,"When you see:
• sorted array
• distance/range constraint
• count subsets/subarrays inside valid range
think:
Sliding window + combinatorics
because valid elements form a contiguous range.
The additive contribution idea here is:
For each right endpoint r:
How many triplets contributewith r as the farthest point?
That contribution is:
C(number of valid previous points, 2)",,"Arrays, Binary Search"
Factory Machines,"May 12, 2026 12:07 AM",Medium,"June 10, 2026",BS on Ans (Atomic Cont),"  1. calculate the max and min time to complete the task
  2. do BS to find out the optimal time",https://cses.fi/problemset/task/1620/,,Individual items sum should be greater than or equal to a value → it becomes a 0 0 0 1 1 1 question,,Binary Search
Famous Painter Partition,"May 12, 2026 9:14 AM",Medium,"August 10, 2026",BS on Ans (Sweep Based),We sweep over the array to find the number of painters required and check it with available,https://maang.in/problems/Famous-Painter-Partition-Problem-472,,"if k painters are able to finish optimally then k+1 will also and so on, so it is a monotonic function, we can use Binary Search",AlgoZenith,Binary Search
Rotated Sorted Array,"May 16, 2026 12:48 PM",Easy,"July 13, 2026",Binary Search,"  1. Check function is arr[idx] > arr[n-1]",https://maang.in/problems/Rotated-Sorted-Array-108?resourceUrl=pl3459-rs108&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Binary Search
Bitonic Array,"May 16, 2026 5:34 PM",Easy,"July 12, 2026",Binary Search,"  1. Check function is arr[mid] > arr[mid+1]",https://maang.in/problems/Bitonic-Array-107?resourceUrl=pl3459-rs107&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Binary Search
Number & Sum of Digits,"May 16, 2026 5:58 PM",Easy,"June 16, 2026",Binary Search,"  1. find the smallest value X that satisfies the question, then ans = N - X + 1 ",https://maang.in/problems/Number-Sum-of-Digit-26?resourceUrl=pl3459-rs26&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Binary Search
Min Max Difference,"May 16, 2026 6:47 PM",Medium,"May 22, 2026",BS on Ans (Sweep Based),"  1. calculate the number of points required to get the max diff 
  2. no of points += (d + max - 1 ) / max - 1 ",https://maang.in/problems/Minimise-Max-Diff-46?resourceUrl=pl3460-rs46&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"The answer is the max difference between immediate points, if we can make this diff using x points then, we can make any max diff greater than the current diff. 
There is a value above which every value satisfies → check function in binary search",,Binary Search
Kth Sum Value,"May 17, 2026 4:04 PM",Medium,"June 8, 2026",BS on Ans (Atomic Cont),"  1. Iterate over the smaller array and then do BS on the second array to get upper bound
  2. sum these values and use binary search on anwer",https://maang.in/problems/Kth-Sum-Value-102?resourceUrl=pl3461-rs102&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"Not swapping the array, this caused O(n) time iteration on the longer array","Sorting the arrays would not make a difference to answers, so we can do BS. Also this was Kth Smallest Type value question",,Binary Search
Consecutive Ones,"May 21, 2026 1:11 PM",Medium,,,,https://maang.in/problems/Consecutive-one-44?resourceUrl=pl3461-rs44&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Two Pointers
Classroom,"May 23, 2026 9:08 PM",Medium,"May 27, 2026",BS on Ans (Sweep Based),"  1. Sort the array, min dis  = 1, max = arr[n-1] - arr[0]
  2. Use binary search on ans to greedily place students",https://maang.in/problems/ClassRoom-471?resourceUrl=pl3462-rs471&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,Tried taking a two pointer approach instead of a lastPos val for check function,"If we can place more than k students for min dist x , then we can place more than k for x - 1 , which makes a monotonic function, thus we can use BS on Ans",,Binary Search
Good Pairs,"May 23, 2026 10:03 PM",Medium,"May 26, 2026",Two Pointers,"  1. Sort the difference of arrays
  2. Use two pointer to find the answer",https://maang.in/problems/Good-Pairs-AZ101-377?resourceUrl=pl3462-rs377&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Two Pointers
Maximise The Fraction,"May 24, 2026 9:27 AM",Hard,"May 26, 2026",BS on Ans (Atomic Cont),"  1. Use BS on real range, use a max heap to get biggest k numbers
  2. use a - x.b >0 as the monotonic function",https://maang.in/problems/Maximise-the-fraction-105?resourceUrl=pl3462-rs105&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Binary Search
Container with Most Water,"May 24, 2026 1:06 PM",Medium,"June 9, 2026",Two Pointers Form 2,"  1. we start from extreme ends and then move inside
  2. we update the pointer for the min value amongst the two",https://leetcode.com/problems/container-with-most-water/solutions/,,"to maximise the area we will first max the |i-j| part, clearly indicating we should be at extreme parts, which mean we need some sort of two pointer
for min value part maximisation we will move the left or right pointer according to min value amongst, thus it is a form 2 for two pointer",,Two Pointers
Number of Subarray with at most K sum,"May 24, 2026 2:15 PM",Medium,"June 7, 2026",Two Pointers Form 1,"  1. increase subarray size till checks are passing
  2. add to ans head - tail + 1, as number of sub arrays have been asked",https://maang.in/problems/Number-of-Subarray-with-sum-at-most-K-59?resourceUrl=pl3467-rs59&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"the question fits the equation
Find the ___ satisfying Criteria.
# of , min len , max len, sum of all, sum of len of all subarrays",,Two Pointers
3 Sum,"May 26, 2026 7:41 PM",Medium,"June 4, 2026",Two Pointers Form 2,"  1. For i ,j ,k fix j and then use two pointers approach with form 2",https://maang.in/problems/3-Sum-65?resourceUrl=pl3476-rs65&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"  1. Array should be sorted
  2. long - Integer.MIN_VALUE can exceed integer values","2 Sum, 3 Sum, Container with most water comes under form 2 of two pointers.",,Two Pointers
Smallest Range Covering Elements from K Lists,"May 31, 2026 5:21 PM",Hard,"June 3, 2026",Two Pointers Form 1,"  1. save the matrix in form of pairs and sort the created list
  2. do two pointers form 1 on the sorted list",https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/description/,,,,Two Pointers
N Queens,"May 31, 2026 6:35 PM",Hard,"August 4, 2026",LCCM,"  1. use LCCM, L → rows, Choice → columns, Check → no diagonals and column same, Move → push to ans list",https://leetcode.com/problems/n-queens/,,"We need to explore all choices so we go with LCCM 
To check if two points are on the same diagonal
Math.abs(y2 - y1) == Math.abs(x2 - x1) ",LeetCode,Backtracking LCCM
Longest Repeating Character Replacement,"June 3, 2026 10:42 AM",Medium,"June 5, 2026","Sliding Window, Two Pointers",,https://leetcode.com/problems/longest-repeating-character-replacement/,Mistake was assuming that the character at the left pointer (s.charAt(tail)) must be the character the whole window is converted into.,"Template Recognition
Whenever you see:""Longest/maximum window after changing/removing at most k elements""
ask:Can I express validity as windowSize - something <= k?
For Character Replacement:
windowSize - maxFrequency <= k
That's the property the sliding window maintains. Your original code instead tried:
windowSize - frequency(leftCharacter) <= k
which is the wrong ""something"".",,Two Pointers
Kth Permutation Easy,"June 7, 2026 2:08 PM",Hard,"June 14, 2026",Kth Solution,"  1. Fixing the first digit creates (n-1)! permutations.
  2. Each choice belongs to a block of size (n-1)!.
  3. Find the block containing k:
  4. Determine which available number's block contains the k-th permutation.
  5. Choose that number:
  6. Add it to the answer and remove it from the available numbers.
  7. Convert k to its position within the chosen block:",https://maang.in/problems/Kth-Permutation-easy-version-476?resourceUrl=pl3523-rs476&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"K-th Solution Pattern
Goal: Find the k-th valid solution without generating all solutions.
Key Insight:Use counting to skip entire blocks of solutions instead of generating them one by one.",,Recursion
N Queens Revisited,"June 7, 2026 7:36 PM",Medium,"August 4, 2026",LCCM,"Same as the N Queens , just with the knight conditions",https://maang.in/problems/NQueens-Revisited-143?resourceUrl=pl3524-rs143&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Backtracking LCCM
Generate Valid Parentheses LCCM,"June 9, 2026 10:12 AM",Medium,"June 13, 2026",LCCM,"  1. Level → number of open and closed 
  2. Choice → both the parantheses
  3. Check → can only add closing if closing > opening
  4. maintain maxDepth at every stage",https://maang.in/problems/Generate-Balanced-Parenthesis-medium-version-485?resourceUrl=pl3524-rs485&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"Recursion State Rule:
Each recursive call represents its own state. Never overwrite the parent's state when exploring a child. Instead, compute a new child state and pass it to the recursive call.
Example:
• Parent: currentDepth = 2, maxDepth = 2
• Add '('
• Child: currentDepth = 3, maxDepth = 3
Pass (3, 3) to the child, but keep the parent as (2, 2).
For mutable objects (e.g., StringBuilder), undo changes after recursion. For primitive state (int), create new variables (newDepth, newMax) instead of modifying the parent's variables.",,,Backtracking LCCM
Android Unlock Pattern,"June 10, 2026 10:43 AM",Hard,"June 14, 2026",LCCM,,https://maang.in/problems/Android-Unlock-Pattern-486?resourceUrl=pl3524-rs486&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"Mistakes & Learnings (Android Unlock Pattern)
• Started DFS only from cell 1 instead of considering all possible starting cells (1..9).
• Did not count the starting cell as already selected, causing pattern lengths to be off by one.
• Tried to determine skipped/intermediate cells using cell numbers ((next + curr) / 2) instead of using the actual grid coordinates.
• Used || when checking for a valid midpoint; a midpoint cell exists only when both row and column midpoints are integers (&&).
• Forgot to backtrack the starting cell (vis[i] = false) after each DFS call, causing state leakage between different starting positions.
• Key takeaway: For grid-based backtracking problems, model the board geometry (coordinates) rather than relying on numbering patterns, and carefully verify that every state change has a matching rollback during backtracking.",,,Backtracking LCCM
Median of Sub arrays,"June 11, 2026 10:07 AM",Hard,"June 25, 2026",BS on Ans (Atomic Cont),,https://maang.in/problems/Median-of-Subarray-Sum-45?resourceUrl=pl3477-rs45&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"  1. int x int overflows before long ",,,"Binary Search, Two Pointers"
Easy Graph Queries,"July 19, 2026 11:17 PM",Easy,"August 2, 2026",,Use component numbering framework,https://maang.in/problems/Easy-Graph-Queries-400?resourceUrl=pl3545-rs400&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"Use stack DS instead of recursively calling the DFS function ",,,Graphs
One Edge,"July 19, 2026 11:55 PM",Medium,"July 26, 2026",DFS,"Find out the connected components size, and then find out number of ordered pairs",https://maang.in/problems/One-Edge-196?resourceUrl=pl3545-rs196&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"Multiplying all sizes of cc, meant finding out number of representatives to connect all cc.
However, choosing representatives is not enough to connect the graph.
You still have to decide how those representatives are connected.
For k components, the number of trees on the chosen representatives is given by Cayley's theorem",,,Graphs
Find Number of Rooms,"July 20, 2026 10:30 PM",Medium,"July 27, 2026",Flood Fill,Visit every cell and do DFS on every node to find out the connected components number,https://maang.in/problems/Find-the-Number-of-Rooms-191?resourceUrl=pl3546-rs191&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Graphs
Colour Tree,"July 20, 2026 10:48 PM",Medium,"July 27, 2026",,Create adjacency list to find out degree of vertices,https://maang.in/problems/Colour-Tree-416?resourceUrl=pl3546-rs416&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Graphs
Labryinth,"July 23, 2026 11:59 PM",Medium,"July 30, 2026","BFS, Single Source Shortest Path (SSSP)","Use BFS on start cell to get the shortest path distance to the end cell, also store parent of the cell whose distance got updated",https://cses.fi/problemset/task/1193/,,,,Graphs
Nearest Exit From Entrance,"July 24, 2026 12:06 AM",Medium,"August 5, 2026","BFS, Single Source Shortest Path (SSSP)",Use SSP then traverse on the boundary cells skipping the entrance and find the shortest distance,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/submissions/2078779758/,,"DFS gives the optimal answer in first go, so as soon as you reach a border cell we can exit",,Graphs
Building Roads,"July 25, 2026 9:43 PM",Easy,"August 8, 2026",DFS,Finding out number of components present inside the graph,https://maang.in/problems/Building-Roads-192?resourceUrl=pl3547-rs192&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Connected Components Size,"July 25, 2026 10:23 PM",Medium,"August 3, 2026","DFS, Flood Fill","Maintain the components[][] and c_size[] arrays, then iterate over the graph ",https://maang.in/problems/Connected-Component-Size-684?resourceUrl=pl3547-rs684&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Number of Islands,"July 25, 2026 10:43 PM",Medium,"August 4, 2026","BFS, DFS, Flood Fill","Maintain a component number variable, increment it as you start bfs/dfs on an unvisited node",https://leetcode.com/problems/number-of-islands/description/,,,LeetCode,Graphs
KWALK,"July 26, 2026 1:30 PM",Medium,"August 5, 2026","BFS, Single Source Shortest Path (SSSP)","Save start and end state, run bfs to get the shortest path ",https://maang.in/problems/KWALK-607?resourceUrl=pl3547-rs607&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Shortest Path in Binary Matrix,"July 26, 2026 1:38 PM",Medium,"August 7, 2026","BFS, Single Source Shortest Path (SSSP)","The direction vector becomes the 8 moves, only semantic difference vis[start] = 1 instead of 0",https://leetcode.com/problems/shortest-path-in-binary-matrix/submissions/2081752591/,dis[start] = 1 instead of regular 0,,LeetCode,Graphs
"Round Trip ","July 26, 2026 8:04 PM",Medium,"August 6, 2026","Cycle Detection, DFS",if you stumble upon an already visited node then there is a cycle,https://maang.in/problems/Round-Trip-194?resourceUrl=pl3548-rs194&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,do not process if you find parent in the neighbours for undirected graphs,,AlgoZenith,Graphs
Creating Teams,"July 26, 2026 10:25 PM",Medium,"August 8, 2026","Bipartite Graphs, DFS","If neighbour colour is equal to the parent node, then the graph is not bipartite",https://maang.in/problems/Creating-Teams-193?resourceUrl=pl3548-rs193&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Round Trip II,"July 26, 2026 10:36 PM",Medium,"August 9, 2026","Cycle Detection, DFS",if a cycle between nodes is found then the answer is yes,https://maang.in/problems/Round-Trip-II-388?resourceUrl=pl3548-rs388&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"  1. Not reassigning the global isCycle boolean variable
  2. if isCycle is true, not point of doing DFS again",,AlgoZenith,Graphs
Possible Bipartition,"July 26, 2026 10:41 PM",Medium,"August 12, 2026","Bipartite Graphs, DFS","The dislikes array becomes the edges for the graphs, then we need to check if the graph is bipartite or not",https://leetcode.com/problems/possible-bipartition/submissions/2082352602/,,,LeetCode,Graphs
Smallest Palindromic Arrangement II,"July 29, 2026 10:21 PM",Hard,,,,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/?envType=daily-question&envId=2026-07-29,,"For a palindrome to exist:
• Even length: every character must have even frequency.
• Odd length: exactly one character can have odd frequency.
• The odd-frequency character is fixed at the middle position.",LeetCode,"Maths, Permuations"
Monsters,"July 29, 2026 11:56 PM",Medium,"August 5, 2026","BFS, Multi Source Shortest Path","For every cell find out the time to reach for person, and min time for any monster to reach there ",https://cses.fi/problemset/task/1194,"Use char[][] for grid instead of ArrayList<ArrayList<Character>> 
Primitive BFS queue (int[]) instead of ArrayDeque<Cell> → avoids object creation and GC overhead.
Encode (row, col) as row * m + col → avoids storing Cell objects in the queue.
Use char[][] parent instead of Cell[][] parent → store only the direction (U/D/L/R) needed for path reconstruction.
Early exit if A starts on boundary → no BFS needed.
Prune unsafe player moves immediately using playerTime < monsterTime → never explore cells where a monster arrives earlier or simultaneously.
Early exit on first safe boundary reached by player BFS → BFS guarantees it is a shortest escape; no need to explore the remaining grid.",,CSES,Graphs
Rotting Organges,"July 30, 2026 12:04 AM",Medium,"August 11, 2026","BFS, Multi Source Shortest Path","Put all rotting oranges into queue, find out the max time to reach a normal orange",https://leetcode.com/problems/rotting-oranges/description/,,,LeetCode,Graphs
Predict The Winner,"August 1, 2026 10:38 PM",Medium,"August 8, 2026",Interval DP,"Define the state on a subarray: dp[l][r] represents the answer for interval [l, r].
Identify the choices at the current interval (e.g., pick left or pick right).
Express the current state using answers from smaller intervals (derive the recurrence).
Define the base case (usually l == r).
Fill the DP table in an order that ensures all dependent intervals are already computed (typically l from n-1 → 0 and r from l → n-1).",https://leetcode.com/problems/predict-the-winner/submissions/2090352416/?envType=daily-question&envId=2026-08-01,,,LeetCode Problem Of The Day,DP
