Name,Folder,Match,Topics,Difficulty,Link
Indexed Set,topics/DequeAndOrderedSet/IndexedSet,exact,"Arrays, Binary Search, Indexed Set",Easy,https://maang.in/problems/Indexed-Set-367?resourceUrl=pl3442-rs367&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Infected People,topics/Graphs/InfectedPeople,exact,Graphs,Medium,https://maang.in/problems/Infected-People-589?resourceUrl=pl3549-rs589&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Interesting Game,topics/GreedyAndSweepLine/InterestingGame,exact,"Arrays, Greedy",Medium,https://maang.in/problems/Interesting-Game-76?resourceUrl=pl3446-rs76&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Jump Game,topics/Graphs/JumpGame,exact,Graphs,Hard,https://maang.in/problems/Jump-Game-897?resourceUrl=pl3599-rs897&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
KWALK,topics/Graphs/Kwalk,exact,Graphs,Medium,https://maang.in/problems/KWALK-607?resourceUrl=pl3547-rs607&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Kth Permutation Easy,topics/Recursion/KthPermutationEasy,exact,Recursion,Hard,https://maang.in/problems/Kth-Permutation-easy-version-476?resourceUrl=pl3523-rs476&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Kth Sum Value,topics/BinarySearch/KthSumValue,exact,Binary Search,Medium,https://maang.in/problems/Kth-Sum-Value-102?resourceUrl=pl3461-rs102&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Labryinth,topics/Graphs/Labyrinth,verified,Graphs,Medium,https://cses.fi/problemset/task/1193/
Length of Longest Subarray With at Most K Frequency,topics/TwoPointers/LengthOfLongestSubarrayWithAtmostKFrequency,verified,"Arrays, Two Pointers",Medium,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/description/?envType=daily-question&envId=2026-08-12
Longest Repeating Character Replacement,topics/TwoPointers/LongestRepeatingCharacterReplacement,verified,Two Pointers,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/
Magical Candy,topics/PriorityQueue/MagicalCandyBag,verified,Priority Queue,Easy,https://maang.in/problems/The-Magical-Candy-Bag-AZ101-365?resourceUrl=pl3439-rs365&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Make it Smooth,topics/GreedyAndSweepLine/MakeItSmooth,exact,Arrays,Medium,https://maang.in/problems/Make-it-smooth-222?resourceUrl=pl4958-rs222&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Max Points on Line,topics/GreedyAndSweepLine/MaxPointsOnLine,exact,Greedy,Hard,https://leetcode.com/problems/max-points-on-a-line/description/
Maximise The Fraction,topics/BinarySearch/MaximiseTheFraction,exact,Binary Search,Hard,https://maang.in/problems/Maximise-the-fraction-105?resourceUrl=pl3462-rs105&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Maximum in Window,topics/DequeAndOrderedSet/MaximumInWindow,exact,"Arrays, Deque, MultiSets",Medium,https://maang.in/problems/Maximum-in-Window-77?resourceUrl=pl3445-rs77&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Median of Sub arrays,topics/TwoPointers/MedianOfSubarraySum,verified,"Binary Search, Two Pointers",Hard,https://maang.in/problems/Median-of-Subarray-Sum-45?resourceUrl=pl3477-rs45&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Min Max Difference,topics/BinarySearch/MinimizeMaxDifference,verified,Binary Search,Medium,https://maang.in/problems/Minimise-Max-Diff-46?resourceUrl=pl3460-rs46&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Minimise the Dot,topics/GreedyAndSweepLine/MinimisingDotProduct,verified,Greedy,Easy,https://maang.in/problems/Minimizing-Dot-Problem-96?resourceUrl=pl4961-rs96&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Monsters,topics/Graphs/Monsters,exact,Graphs,Medium,https://cses.fi/problemset/task/1194
Multi Map AZ101,topics/PriorityQueue/MultiMapAZ101,exact,"HashMap, Queues",Easy,https://maang.in/problems/Multimap-AZ101-363?resourceUrl=pl3439-rs363&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
N Queens,topics/Backtracking/NQueens,verified,Backtracking LCCM,Hard,https://leetcode.com/problems/n-queens/
N Queens Revisited,topics/Backtracking/NQueensRevisited,verified,Backtracking LCCM,Medium,https://maang.in/problems/NQueens-Revisited-143?resourceUrl=pl3524-rs143&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Nearest Exit From Entrance,topics/Graphs/NearestExitFromEntrance,verified,Graphs,Medium,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/submissions/2078779758/
Number & Sum of Digits,topics/BinarySearch/NumberAndSumOfDigits,verified,Binary Search,Easy,https://maang.in/problems/Number-Sum-of-Digit-26?resourceUrl=pl3459-rs26&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Number of Islands,topics/Graphs/NumberOfIslands,verified,Graphs,Medium,https://leetcode.com/problems/number-of-islands/description/
Number of Subarray with at most K sum,topics/TwoPointers/NumberOfSubarrayWithSumAtmostK,verified,Two Pointers,Medium,https://maang.in/problems/Number-of-Subarray-with-sum-at-most-K-59?resourceUrl=pl3467-rs59&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
One Edge,topics/Graphs/OneEdge,exact,Graphs,Medium,https://maang.in/problems/One-Edge-196?resourceUrl=pl3545-rs196&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
One Peice,topics/Graphs/OnePiece,verified,Graphs,Hard,https://maang.in/problems/One-Piece-902?resourceUrl=pl3553-rs902&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Points on Line,topics/TwoPointers/PointsOnLine,exact,"Arrays, Binary Search",Medium,https://codeforces.com/problemset/problem/251/A
Possible Bipartition,topics/Graphs/PossibleBipartition,verified,Graphs,Medium,https://leetcode.com/problems/possible-bipartition/submissions/2082352602/
Predict The Winner,topics/DynamicProgramming/PredictTheWinner,exact,DP,Medium,https://leetcode.com/problems/predict-the-winner/submissions/2090352416/?envType=daily-question&envId=2026-08-01
Queues AZ101,topics/StackAndQueues/QueueAZ101,verified,Queues,Easy,https://maang.in/problems/Queue-AZ101-349?resourceUrl=pl3437-rs349&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Queues using 2 stacks,topics/StackAndQueues/QueueUsing2Stacks,verified,"Queues, Stacks",Easy,https://maang.in/problems/Queue-using-2-Stacks-AZ101-350?resourceUrl=pl3437-rs350&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Reduce the Array,topics/PriorityQueue/ReduceArray,verified,Priority Queue,Easy,https://maang.in/problems/Reduce-the-Array-AZ101-376?resourceUrl=pl3439-rs376&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Rotated Sorted Array,topics/BinarySearch/RotatedBinarySearch,verified,Binary Search,Easy,https://maang.in/problems/Rotated-Sorted-Array-108?resourceUrl=pl3459-rs108&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Rotting Organges,topics/Graphs/RottingOranges,verified,Graphs,Medium,https://leetcode.com/problems/rotting-oranges/description/
Round Trip ,topics/Graphs/RoundTrip,exact,Graphs,Medium,https://maang.in/problems/Round-Trip-194?resourceUrl=pl3548-rs194&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Round Trip II,topics/Graphs/RoundTrip2,verified,Graphs,Medium,https://maang.in/problems/Round-Trip-II-388?resourceUrl=pl3548-rs388&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
STL Searching ,topics/BinarySearch/STLSearching,verified,"Arrays, Binary Search",Easy,https://maang.in/problems/STL-Searching-395?resourceUrl=pl3443-rs395&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Set Operations AZ101,topics/Sets/SetOperationsAZ101,exact,Sets,Easy,https://maang.in/problems/Set-Operations-AZ101-372?resourceUrl=pl3440-rs372&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Shortest Path II,topics/Graphs/ShortestPathII,exact,Graphs,Medium,https://maang.in/problems/Shortest-Path-II-208?resourceUrl=pl3596-rs208&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Shortest Path in Binary Matrix,topics/Graphs/ShortestPathInBinaryMatrix,verified,Graphs,Medium,https://leetcode.com/problems/shortest-path-in-binary-matrix/submissions/2081752591/
Shortest Route I,topics/Graphs/ShortestPathI,verified,Graphs,Medium,https://maang.in/problems/Shortest-Path-I-207?resourceUrl=pl3594-rs207&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Smallest Palindromic Arrangement II,topics/Strings/SmallestPalindromicArrangement,verified,"Maths, Permuations",Hard,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/?envType=daily-question&envId=2026-07-29
Smallest Permutation,topics/Graphs/SmallestPermutation,exact,Graphs,Medium,https://maang.in/problems/Smallest-Permutation-898?resourceUrl=pl3550-rs898&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Smallest Range Covering Elements from K Lists,topics/TwoPointers/SmallestRangeCoveringFromKLists,verified,Two Pointers,Hard,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/description/
Snakes & Ladder,topics/Graphs/SnakesAndLadder,verified,Graphs,Medium,https://maang.in/problems/Snakes-and-Ladders-927?resourceUrl=pl3598-rs927&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Stone Game II — LeetCode 1140,topics/DynamicProgramming/StoneGameII,verified,DP,Medium,https://leetcode.com/problems/stone-game-ii/?envType=daily-question&envId=2026-08-09
Stone Game III,topics/DynamicProgramming/StoneGameIII,exact,"DP, Recursion",Hard,https://leetcode.com/problems/stone-game-iii/?envType=daily-question&envId=2026-08-03
Stone Game IV,topics/DynamicProgramming/StoneGameIV,exact,DP,Hard,https://leetcode.com/problems/stone-game-iv/submissions/2101829163/?envType=daily-question&envId=2026-08-10
Towers AZ101,topics/MultiSet/TowersAZ101,exact,MultiSets,Medium,https://maang.in/problems/Towers-AZ101-362?resourceUrl=pl3441-rs362&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Valid Paranthesis AZ101,topics/StackAndQueues/ValidParanthesisAZ101,exact,"Arrays, Stacks",Easy,"https://maang.in/problems/Valid-Parentheses-AZ101-348?resourceUrl=pl3444-rs348&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]"
